x_mm,y_mm,z_mm,ok,error_code,alpha_deg,servo0_pwm,servo1_pwm,servo2_pwm,servo3_pwm,command
-160.0,0.0,0.0,0,8,,,,,,
-160.0,0.0,20.0,0,8,,,,,,
-160.0,0.0,40.0,0,8,,,,,,
-160.0,0.0,60.0,0,8,,,,,,
-160.0,0.0,80.0,0,8,,,,,,
-160.0,0.0,100.0,1,0,-45,2166,1650,2149,999,{#000P2166T1500!#001P1650T1500!#002P2149T1500!#003P0999T1500!}
-160.0,0.0,120.0,1,0,-45,2166,1609,1997,888,{#000P2166T1500!#001P1609T1500!#002P1997T1500!#003P0888T1500!}
-160.0,0.0,140.0,1,0,-41,2166,1604,1910,836,{#000P2166T1500!#001P1604T1500!#002P1910T1500!#003P0836T1500!}
-160.0,0.0,160.0,1,0,-34,2166,1635,1899,845,{#000P2166T1500!#001P1635T1500!#002P1899T1500!#003P0845T1500!}
-160.0,0.0,180.0,0,8,,,,,,
-160.0,0.0,200.0,0,8,,,,,,
-160.0,0.0,220.0,0,8,,,,,,
-160.0,0.0,240.0,0,8,,,,,,
-160.0,0.0,260.0,0,8,,,,,,
-160.0,20.0,0.0,0,8,,,,,,
-160.0,20.0,20.0,0,8,,,,,,
-160.0,20.0,40.0,0,8,,,,,,
-160.0,20.0,60.0,0,8,,,,,,
-160.0,20.0,80.0,0,8,,,,,,
-160.0,20.0,100.0,1,0,-45,2113,1646,2147,1001,{#000P2113T1500!#001P1646T1500!#002P2147T1500!#003P1001T1500!}
-160.0,20.0,120.0,1,0,-45,2113,1604,1995,890,{#000P2113T1500!#001P1604T1500!#002P1995T1500!#003P0890T1500!}
-160.0,20.0,140.0,1,0,-41,2113,1599,1908,838,{#000P2113T1500!#001P1599T1500!#002P1908T1500!#003P0838T1500!}
-160.0,20.0,160.0,1,0,-34,2113,1631,1898,848,{#000P2113T1500!#001P1631T1500!#002P1898T1500!#003P0848T1500!}
-160.0,20.0,180.0,0,8,,,,,,
-160.0,20.0,200.0,0,8,,,,,,
-160.0,20.0,220.0,0,8,,,,,,
-160.0,20.0,240.0,0,8,,,,,,
-160.0,20.0,260.0,0,8,,,,,,
-160.0,40.0,0.0,0,8,,,,,,
-160.0,40.0,20.0,0,8,,,,,,
-160.0,40.0,40.0,0,8,,,,,,
-160.0,40.0,60.0,0,8,,,,,,
-160.0,40.0,80.0,0,8,,,,,,
-160.0,40.0,100.0,1,0,-45,2062,1632,2140,1008,{#000P2062T1500!#001P1632T1500!#002P2140T1500!#003P1008T1500!}
-160.0,40.0,120.0,1,0,-45,2062,1591,1987,895,{#000P2062T1500!#001P1591T1500!#002P1987T1500!#003P0895T1500!}
-160.0,40.0,140.0,1,0,-41,2062,1587,1902,844,{#000P2062T1500!#001P1587T1500!#002P1902T1500!#003P0844T1500!}
-160.0,40.0,160.0,1,0,-35,2062,1604,1863,833,{#000P2062T1500!#001P1604T1500!#002P1863T1500!#003P0833T1500!}
-160.0,40.0,180.0,0,8,,,,,,
-160.0,40.0,200.0,0,8,,,,,,
-160.0,40.0,220.0,0,8,,,,,,
-160.0,40.0,240.0,0,8,,,,,,
-160.0,40.0,260.0,0,8,,,,,,
-160.0,60.0,0.0,0,8,,,,,,
-160.0,60.0,20.0,0,8,,,,,,
-160.0,60.0,40.0,0,8,,,,,,
-160.0,60.0,60.0,0,8,,,,,,
-160.0,60.0,80.0,0,8,,,,,,
-160.0,60.0,100.0,1,0,-45,2014,1609,2127,1017,{#000P2014T1500!#001P1609T1500!#002P2127T1500!#003P1017T1500!}
-160.0,60.0,120.0,1,0,-45,2014,1570,1972,902,{#000P2014T1500!#001P1570T1500!#002P1972T1500!#003P0902T1500!}
-160.0,60.0,140.0,1,0,-41,2014,1567,1889,851,{#000P2014T1500!#001P1567T1500!#002P1889T1500!#003P0851T1500!}
