x_mm,y_mm,z_mm,ok,error_code,alpha_deg,servo0_pwm,servo1_pwm,servo2_pwm,servo3_pwm,command
-160.0,80.0,20.0,1,0,-81,1969,1099,1552,686,{#000P1969T1500!#001P1099T1500!#002P1552T1500!#003P0686T1500!}
-160.0,80.0,60.0,1,0,-71,1969,1246,1650,711,{#000P1969T1500!#001P1246T1500!#002P1650T1500!#003P0711T1500!}
-160.0,80.0,100.0,1,0,-60,1969,1308,1567,648,{#000P1969T1500!#001P1308T1500!#002P1567T1500!#003P0648T1500!}
-160.0,80.0,140.0,1,0,-46,1969,1425,1633,701,{#000P1969T1500!#001P1425T1500!#002P1633T1500!#003P0701T1500!}
-160.0,80.0,180.0,1,0,-32,1969,1498,1648,745,{#000P1969T1500!#001P1498T1500!#002P1648T1500!#003P0745T1500!}
-160.0,80.0,220.0,0,8,,,,,,
-160.0,80.0,260.0,0,8,,,,,,
-160.0,80.0,300.0,0,8,,,,,,
-160.0,80.0,340.0,0,8,,,,,,
-160.0,80.0,380.0,0,8,,,,,,
-160.0,80.0,420.0,0,8,,,,,,
-160.0,120.0,20.0,1,0,-75,1893,1080,1535,731,{#000P1893T1500!#001P1080T1500!#002P1535T1500!#003P0731T1500!}
-160.0,120.0,60.0,1,0,-66,1893,1220,1639,763,{#000P1893T1500!#001P1220T1500!#002P1639T1500!#003P0763T1500!}
-160.0,120.0,100.0,1,0,-56,1893,1282,1577,713,{#000P1893T1500!#001P1282T1500!#002P1577T1500!#003P0713T1500!}
-160.0,120.0,140.0,1,0,-44,1893,1356,1565,717,{#000P1893T1500!#001P1356T1500!#002P1565T1500!#003P0717T1500!}
-160.0,120.0,180.0,1,0,-31,1893,1434,1605,775,{#000P1893T1500!#001P1434T1500!#002P1605T1500!#003P0775T1500!}
-160.0,120.0,220.0,0,8,,,,,,
-160.0,120.0,260.0,0,8,,,,,,
-160.0,120.0,300.0,0,8,,,,,,
-160.0,120.0,340.0,0,8,,,,,,
-160.0,120.0,380.0,0,8,,,,,,
-160.0,120.0,420.0,0,8,,,,,,
-160.0,160.0,20.0,1,0,-67,1833,1100,1630,866,{#000P1833T1500!#001P1100T1500!#002P1630T1500!#003P0866T1500!}
-160.0,160.0,60.0,1,0,-60,1833,1172,1595,812,{#000P1833T1500!#001P1172T1500!#002P1595T1500!#003P0812T1500!}
-160.0,160.0,100.0,1,0,-51,1833,1227,1538,766,{#000P1833T1500!#001P1227T1500!#002P1538T1500!#003P0766T1500!}
-160.0,160.0,140.0,1,0,-40,1833,1317,1588,808,{#000P1833T1500!#001P1317T1500!#002P1588T1500!#003P0808T1500!}
-160.0,160.0,180.0,0,8,,,,,,
-160.0,160.0,220.0,0,8,,,,,,
-160.0,160.0,260.0,0,8,,,,,,
-160.0,160.0,300.0,0,8,,,,,,
-160.0,160.0,340.0,0,8,,,,,,
-160.0,160.0,380.0,0,8,,,,,,
-160.0,160.0,420.0,0,8,,,,,,
-160.0,200.0,20.0,1,0,-59,1786,1040,1563,918,{#000P1786T1500!#001P1040T1500!#002P1563T1500!#003P0918T1500!}
-160.0,200.0,60.0,1,0,-52,1786,1153,1645,940,{#000P1786T1500!#001P1153T1500!#002P1645T1500!#003P0940T1500!}
-160.0,200.0,100.0,1,0,-44,1786,1217,1629,919,{#000P1786T1500!#001P1217T1500!#002P1629T1500!#003P0919T1500!}
-160.0,200.0,140.0,1,0,-35,1786,1241,1540,872,{#000P1786T1500!#001P1241T1500!#002P1540T1500!#003P0872T1500!}
-160.0,200.0,180.0,0,8,,,,,,
-160.0,200.0,220.0,0,8,,,,,,
-160.0,200.0,260.0,0,8,,,,,,
-160.0,200.0,300.0,0,8,,,,,,
-160.0,200.0,340.0,0,8,,,,,,
-160.0,200.0,380.0,0,8,,,,,,
-160.0,200.0,420.0,0,8,,,,,,
-160.0,240.0,20.0,1,0,-49,1749,999,1577,1047,{#000P1749T1500!#001P0999T1500!#002P1577T1500!#003P1047T1500!}
-160.0,240.0,60.0,1,0,-43,1749,1101,1649,1062,{#000P1749T1500!#001P1101T1500!#002P1649T1500!#003P1062T1500!}
-160.0,240.0,100.0,1,0,-36,1749,1160,1636,1042,{#000P1749T1500!#001P1160T1500!#002P1636T1500!#003P1042T1500!}
-160.0,240.0,140.0,0,8,,,,,,
-160.0,240.0,180.0,0,8,,,,,,
-160.0,240.0,220.0,0,8,,,,,,
-160.0,240.0,260.0,0,8,,,,,,
-160.0,240.0,300.0,0,8,,,,,,
-160.0,240.0,340.0,0,8,,,,,,
-160.0,240.0,380.0,0,8,,,,,,
-160.0,240.0,420.0,0,8,,,,,,
-160.0,280.0,20.0,1,0,-36,1720,937,1601,1231,{#000P1720T1500!#001P0937T1500!#002P1601T1500!#003P1231T1500!}
-160.0,280.0,60.0,1,0,-32,1720,1011,1605,1190,{#000P1720T1500!#001P1011T1500!#002P1605T1500!#003P1190T1500!}
-160.0,280.0,100.0,0,8,,,,,,
-160.0,280.0,140.0,0,8,,,,,,
-160.0,280.0,180.0,0,8,,,,,,
-160.0,280.0,220.0,0,8,,,,,,
-160.0,280.0,260.0,0,8,,,,,,
-160.0,280.0,300.0,0,8,,,,,,
-160.0,280.0,340.0,0,8,,,,,,
-160.0,280.0,380.0,0,8,,,,,,
-160.0,280.0,420.0,0,8,,,,,,
-160.0,320.0,20.0,0,8,,,,,,
-160.0,320.0,60.0,0,8,,,,,,
-160.0,320.0,100.0,0,8,,,,,,
-160.0,320.0,140.0,0,8,,,,,,
-160.0,320.0,180.0,0,8,,,,,,
-160.0,320.0,220.0,0,8,,,,,,
-160.0,320.0,260.0,0,8,,,,,,
-160.0,320.0,300.0,0,8,,,,,,
-160.0,320.0,340.0,0,8,,,,,,
-160.0,320.0,380.0,0,8,,,,,,
-160.0,320.0,420.0,0,8,,,,,,
-160.0,360.0,20.0,0,8,,,,,,
-160.0,360.0,60.0,0,8,,,,,,
-160.0,360.0,100.0,0,8,,,,,,
-160.0,360.0,140.0,0,8,,,,,,
-160.0,360.0,180.0,0,8,,,,,,
-160.0,360.0,220.0,0,8,,,,,,
-160.0,360.0,260.0,0,8,,,,,,
-160.0,360.0,300.0,0,8,,,,,,
-160.0,360.0,340.0,0,8,,,,,,
-160.0,360.0,380.0,0,8,,,,,,
-160.0,360.0,420.0,0,8,,,,,,
-160.0,400.0,20.0,0,8,,,,,,
-160.0,400.0,60.0,0,8,,,,,,
-160.0,400.0,100.0,0,8,,,,,,
-160.0,400.0,140.0,0,8,,,,,,
-160.0,400.0,180.0,0,8,,,,,,
-160.0,400.0,220.0,0,8,,,,,,
-160.0,400.0,260.0,0,8,,,,,,
-160.0,400.0,300.0,0,8,,,,,,
-160.0,400.0,340.0,0,8,,,,,,
-160.0,400.0,380.0,0,8,,,,,,
-160.0,400.0,420.0,0,8,,,,,,
-120.0,80.0,20.0,1,0,-91,1917,1138,1626,646,{#000P1917T1500!#001P1138T1500!#002P1626T1500!#003P0646T1500!}
-120.0,80.0,60.0,1,0,-80,1917,1264,1635,612,{#000P1917T1500!#001P1264T1500!#002P1635T1500!#003P0612T1500!}
-120.0,80.0,100.0,1,0,-65,1917,1399,1662,614,{#000P1917T1500!#001P1399T1500!#002P1662T1500!#003P0614T1500!}
-120.0,80.0,140.0,1,0,-49,1917,1493,1635,612,{#000P1917T1500!#001P1493T1500!#002P1635T1500!#003P0612T1500!}
-120.0,80.0,180.0,1,0,-33,1917,1567,1623,644,{#000P1917T1500!#001P1567T1500!#002P1623T1500!#003P0644T1500!}
-120.0,80.0,220.0,0,8,,,,,,
-120.0,80.0,260.0,0,8,,,,,,
-120.0,80.0,300.0,0,8,,,,,,
-120.0,80.0,340.0,0,8,,,,,,
-120.0,80.0,380.0,0,8,,,,,,
-120.0,80.0,420.0,0,8,,,,,,
-120.0,120.0,20.0,1,0,-83,1833,1140,1638,716,{#000P1833T1500!#001P1140T1500!#002P1638T1500!#003P0716T1500!}
-120.0,120.0,60.0,1,0,-74,1833,1221,1580,643,{#000P1833T1500!#001P1221T1500!#002P1580T1500!#003P0643T1500!}
-120.0,120.0,100.0,1,0,-61,1833,1352,1637,666,{#000P1833T1500!#001P1352T1500!#002P1637T1500!#003P0666T1500!}
-120.0,120.0,140.0,1,0,-47,1833,1440,1630,674,{#000P1833T1500!#001P1440T1500!#002P1630T1500!#003P0674T1500!}
-120.0,120.0,180.0,1,0,-33,1833,1492,1589,685,{#000P1833T1500!#001P1492T1500!#002P1589T1500!#003P0685T1500!}
-120.0,120.0,220.0,0,8,,,,,,
-120.0,120.0,260.0,0,8,,,,,,
-120.0,120.0,300.0,0,8,,,,,,
-120.0,120.0,340.0,0,8,,,,,,
-120.0,120.0,380.0,0,8,,,,,,
-120.0,120.0,420.0,0,8,,,,,,
-120.0,160.0,20.0,1,0,-75,1773,1080,1535,731,{#000P1773T1500!#001P1080T1500!#002P1535T1500!#003P0731T1500!}
-120.0,160.0,60.0,1,0,-66,1773,1220,1639,763,{#000P1773T1500!#001P1220T1500!#002P1639T1500!#003P0763T1500!}
-120.0,160.0,100.0,1,0,-56,1773,1282,1577,713,{#000P1773T1500!#001P1282T1500!#002P1577T1500!#003P0713T1500!}
-120.0,160.0,140.0,1,0,-44,1773,1356,1565,717,{#000P1773T1500!#001P1356T1500!#002P1565T1500!#003P0717T1500!}
-120.0,160.0,180.0,1,0,-31,1773,1434,1605,775,{#000P1773T1500!#001P1434T1500!#002P1605T1500!#003P0775T1500!}
-120.0,160.0,220.0,0,8,,,,,,
-120.0,160.0,260.0,0,8,,,,,,
-120.0,160.0,300.0,0,8,,,,,,
-120.0,160.0,340.0,0,8,,,,,,
-120.0,160.0,380.0,0,8,,,,,,
-120.0,160.0,420.0,0,8,,,,,,
-120.0,200.0,20.0,1,0,-65,1729,1095,1634,890,{#000P1729T1500!#001P1095T1500!#002P1634T1500!#003P0890T1500!}
-120.0,200.0,60.0,1,0,-58,1729,1177,1627,854,{#000P1729T1500!#001P1177T1500!#002P1627T1500!#003P0854T1500!}
-120.0,200.0,100.0,1,0,-49,1729,1253,1625,842,{#000P1729T1500!#001P1253T1500!#002P1625T1500!#003P0842T1500!}
-120.0,200.0,140.0,1,0,-39,1729,1295,1566,815,{#000P1729T1500!#001P1295T1500!#002P1566T1500!#003P0815T1500!}
