x_mm,y_mm,z_mm,ok,error_code,alpha_deg,servo0_pwm,servo1_pwm,servo2_pwm,servo3_pwm,command
-160.0,0.0,0.0,0,8,,,,,,
-160.0,0.0,20.0,0,8,,,,,,
-160.0,0.0,40.0,0,8,,,,,,
-160.0,0.0,60.0,0,8,,,,,,
-160.0,0.0,80.0,0,8,,,,,,
-160.0,0.0,100.0,0,8,,,,,,
-160.0,0.0,120.0,0,8,,,,,,
-160.0,0.0,140.0,1,0,-45,2166,1487,2141,1153,{#000P2166T1500!#001P1487T1500!#002P2141T1500!#003P1153T1500!}
-160.0,0.0,160.0,1,0,-45,2166,1475,2028,1052,{#000P2166T1500!#001P1475T1500!#002P2028T1500!#003P1052T1500!}
-160.0,0.0,180.0,1,0,-45,2166,1439,1880,941,{#000P2166T1500!#001P1439T1500!#002P1880T1500!#003P0941T1500!}
-160.0,0.0,200.0,1,0,-42,2166,1395,1721,848,{#000P2166T1500!#001P1395T1500!#002P1721T1500!#003P0848T1500!}
-160.0,0.0,220.0,1,0,-33,2166,1398,1668,859,{#000P2166T1500!#001P1398T1500!#002P1668T1500!#003P0859T1500!}
-160.0,0.0,240.0,0,8,,,,,,
-160.0,0.0,260.0,0,8,,,,,,
-160.0,0.0,280.0,0,8,,,,,,
-160.0,0.0,300.0,0,8,,,,,,
-160.0,0.0,320.0,0,8,,,,,,
-160.0,20.0,0.0,0,8,,,,,,
-160.0,20.0,20.0,0,8,,,,,,
-160.0,20.0,40.0,0,8,,,,,,
-160.0,20.0,60.0,0,8,,,,,,
-160.0,20.0,80.0,0,8,,,,,,
-160.0,20.0,100.0,0,8,,,,,,
-160.0,20.0,120.0,0,8,,,,,,
-160.0,20.0,140.0,1,0,-45,2113,1482,2135,1152,{#000P2113T1500!#001P1482T1500!#002P2135T1500!#003P1152T1500!}
-160.0,20.0,160.0,1,0,-45,2113,1470,2022,1052,{#000P2113T1500!#001P1470T1500!#002P2022T1500!#003P1052T1500!}
-160.0,20.0,180.0,1,0,-45,2113,1434,1874,939,{#000P2113T1500!#001P1434T1500!#002P1874T1500!#003P0939T1500!}
-160.0,20.0,200.0,1,0,-42,2113,1387,1710,845,{#000P2113T1500!#001P1387T1500!#002P1710T1500!#003P0845T1500!}
-160.0,20.0,220.0,1,0,-33,2113,1390,1657,855,{#000P2113T1500!#001P1390T1500!#002P1657T1500!#003P0855T1500!}
-160.0,20.0,240.0,0,8,,,,,,
-160.0,20.0,260.0,0,8,,,,,,
-160.0,20.0,280.0,0,8,,,,,,
-160.0,20.0,300.0,0,8,,,,,,
-160.0,20.0,320.0,0,8,,,,,,
-160.0,40.0,0.0,0,8,,,,,,
-160.0,40.0,20.0,0,8,,,,,,
-160.0,40.0,40.0,0,8,,,,,,
-160.0,40.0,60.0,0,8,,,,,,
-160.0,40.0,80.0,0,8,,,,,,
-160.0,40.0,100.0,0,8,,,,,,
-160.0,40.0,120.0,0,8,,,,,,
-160.0,40.0,140.0,1,0,-45,2062,1467,2119,1151,{#000P2062T1500!#001P1467T1500!#002P2119T1500!#003P1151T1500!}
-160.0,40.0,160.0,1,0,-45,2062,1455,2005,1050,{#000P2062T1500!#001P1455T1500!#002P2005T1500!#003P1050T1500!}
-160.0,40.0,180.0,1,0,-45,2062,1417,1853,935,{#000P2062T1500!#001P1417T1500!#002P1853T1500!#003P0935T1500!}
-160.0,40.0,200.0,1,0,-41,2062,1381,1709,858,{#000P2062T1500!#001P1381T1500!#002P1709T1500!#003P0858T1500!}
-160.0,40.0,220.0,1,0,-33,2062,1363,1613,838,{#000P2062T1500!#001P1363T1500!#002P1613T1500!#003P0838T1500!}
-160.0,40.0,240.0,0,8,,,,,,
-160.0,40.0,260.0,0,8,,,,,,
-160.0,40.0,280.0,0,8,,,,,,
-160.0,40.0,300.0,0,8,,,,,,
