x_mm,y_mm,z_mm,ok,error_code,alpha_deg,servo0_pwm,servo1_pwm,servo2_pwm,servo3_pwm,command
-80.0,120.0,60.0,1,0,-45,1749,1748,2416,1167,{#000P1749T1500!#001P1748T1500!#002P2416T1500!#003P1167T1500!}
-80.0,120.0,100.0,1,0,-45,1749,1708,2171,962,{#000P1749T1500!#001P1708T1500!#002P2171T1500!#003P0962T1500!}
-80.0,120.0,140.0,1,0,-45,1749,1586,1814,727,{#000P1749T1500!#001P1586T1500!#002P1814T1500!#003P0727T1500!}
-80.0,160.0,60.0,1,0,-45,1696,1588,2343,1254,{#000P1696T1500!#001P1588T1500!#002P2343T1500!#003P1254T1500!}
-80.0,160.0,100.0,1,0,-45,1696,1578,2106,1027,{#000P1696T1500!#001P1578T1500!#002P2106T1500!#003P1027T1500!}
-80.0,160.0,140.0,1,0,-45,1696,1456,1702,745,{#000P1696T1500!#001P1456T1500!#002P1702T1500!#003P0745T1500!}
-80.0,200.0,60.0,1,0,-45,1661,1439,2200,1261,{#000P1661T1500!#001P1439T1500!#002P2200T1500!#003P1261T1500!}
-80.0,200.0,100.0,1,0,-45,1661,1431,1961,1030,{#000P1661T1500!#001P1431T1500!#002P1961T1500!#003P1030T1500!}
-80.0,200.0,140.0,1,0,-41,1661,1367,1657,819,{#000P1661T1500!#001P1367T1500!#002P1657T1500!#003P0819T1500!}
-80.0,240.0,60.0,1,0,-45,1636,1285,1978,1192,{#000P1636T1500!#001P1285T1500!#002P1978T1500!#003P1192T1500!}
-80.0,240.0,100.0,1,0,-45,1636,1209,1595,886,{#000P1636T1500!#001P1209T1500!#002P1595T1500!#003P0886T1500!}
-80.0,240.0,140.0,1,0,-35,1636,1284,1630,920,{#000P1636T1500!#001P1284T1500!#002P1630T1500!#003P0920T1500!}
-40.0,120.0,60.0,1,0,-45,1636,1835,2425,1090,{#000P1636T1500!#001P1835T1500!#002P2425T1500!#003P1090T1500!}
-40.0,120.0,100.0,1,0,-45,1636,1769,2178,908,{#000P1636T1500!#001P1769T1500!#002P2178T1500!#003P0908T1500!}
-40.0,120.0,140.0,1,0,-45,1636,1636,1825,689,{#000P1636T1500!#001P1636T1500!#002P1825T1500!#003P0689T1500!}
-40.0,160.0,60.0,1,0,-45,1603,1650,2380,1230,{#000P1603T1500!#001P1650T1500!#002P2380T1500!#003P1230T1500!}
