x_mm,y_mm,z_mm,ok,error_code,alpha_deg,servo0_pwm,servo1_pwm,servo2_pwm,servo3_pwm,command
-80.0,120.0,80.0,1,0,-45,1749,1737,2299,1061,{#000P1749T1500!#001P1737T1500!#002P2299T1500!#003P1061T1500!}
-80.0,120.0,90.0,1,0,-45,1749,1725,2237,1012,{#000P1749T1500!#001P1725T1500!#002P2237T1500!#003P1012T1500!}
-80.0,120.0,100.0,1,0,-45,1749,1708,2171,962,{#000P1749T1500!#001P1708T1500!#002P2171T1500!#003P0962T1500!}
-80.0,120.0,110.0,1,0,-45,1749,1687,2099,911,{#000P1749T1500!#001P1687T1500!#002P2099T1500!#003P0911T1500!}
-80.0,120.0,120.0,1,0,-45,1749,1661,2020,858,{#000P1749T1500!#001P1661T1500!#002P2020T1500!#003P0858T1500!}
-80.0,120.0,130.0,1,0,-45,1749,1629,1928,798,{#000P1749T1500!#001P1629T1500!#002P1928T1500!#003P0798T1500!}
-80.0,120.0,140.0,1,0,-45,1749,1586,1814,727,{#000P1749T1500!#001P1586T1500!#002P1814T1500!#003P0727T1500!}
-80.0,120.0,150.0,1,0,-45,1749,1511,1625,613,{#000P1749T1500!#001P1511T1500!#002P1625T1500!#003P0613T1500!}
-80.0,120.0,160.0,1,0,-41,1749,1529,1618,618,{#000P1749T1500!#001P1529T1500!#002P1618T1500!#003P0618T1500!}
-80.0,120.0,170.0,1,0,-37,1749,1547,1617,628,{#000P1749T1500!#001P1547T1500!#002P1617T1500!#003P0628T1500!}
-80.0,120.0,180.0,1,0,-33,1749,1567,1623,644,{#000P1749T1500!#001P1567T1500!#002P1623T1500!#003P0644T1500!}
-80.0,120.0,190.0,0,8,,,,,,
-80.0,120.0,200.0,0,8,,,,,,
-80.0,120.0,210.0,0,8,,,,,,
-80.0,120.0,220.0,0,8,,,,,,
-80.0,130.0,80.0,1,0,-45,1734,1702,2289,1086,{#000P1734T1500!#001P1702T1500!#002P2289T1500!#003P1086T1500!}
-80.0,130.0,90.0,1,0,-45,1734,1692,2227,1034,{#000P1734T1500!#001P1692T1500!#002P2227T1500!#003P1034T1500!}
-80.0,130.0,100.0,1,0,-45,1734,1677,2161,983,{#000P1734T1500!#001P1677T1500!#002P2161T1500!#003P0983T1500!}
-80.0,130.0,110.0,1,0,-45,1734,1658,2089,930,{#000P1734T1500!#001P1658T1500!#002P2089T1500!#003P0930T1500!}
-80.0,130.0,120.0,1,0,-45,1734,1634,2009,875,{#000P1734T1500!#001P1634T1500!#002P2009T1500!#003P0875T1500!}
-80.0,130.0,130.0,1,0,-45,1734,1603,1917,814,{#000P1734T1500!#001P1603T1500!#002P1917T1500!#003P0814T1500!}
-80.0,130.0,140.0,1,0,-45,1734,1560,1800,739,{#000P1734T1500!#001P1560T1500!#002P1800T1500!#003P0739T1500!}
-80.0,130.0,150.0,1,0,-44,1734,1514,1668,661,{#000P1734T1500!#001P1514T1500!#002P1668T1500!#003P0661T1500!}
-80.0,130.0,160.0,1,0,-41,1734,1500,1596,625,{#000P1734T1500!#001P1500T1500!#002P1596T1500!#003P0625T1500!}
-80.0,130.0,170.0,1,0,-37,1734,1524,1609,644,{#000P1734T1500!#001P1524T1500!#002P1609T1500!#003P0644T1500!}
-80.0,130.0,180.0,1,0,-33,1734,1548,1627,667,{#000P1734T1500!#001P1548T1500!#002P1627T1500!#003P0667T1500!}
-80.0,130.0,190.0,0,8,,,,,,
-80.0,130.0,200.0,0,8,,,,,,
-80.0,130.0,210.0,0,8,,,,,,
-80.0,130.0,220.0,0,8,,,,,,
-80.0,140.0,80.0,1,0,-45,1720,1667,2275,1108,{#000P1720T1500!#001P1667T1500!#002P2275T1500!#003P1108T1500!}
-80.0,140.0,90.0,1,0,-45,1720,1659,2213,1054,{#000P1720T1500!#001P1659T1500!#002P2213T1500!#003P1054T1500!}
-80.0,140.0,100.0,1,0,-45,1720,1646,2147,1001,{#000P1720T1500!#001P1646T1500!#002P2147T1500!#003P1001T1500!}
