x_mm,y_mm,z_mm,ok,error_code,alpha_deg,servo0_pwm,servo1_pwm,servo2_pwm,servo3_pwm,command
-80.0,100.0,220.0,0,8,,,,,,
-80.0,100.0,240.0,0,8,,,,,,
-80.0,100.0,260.0,0,8,,,,,,
-80.0,100.0,280.0,0,8,,,,,,
-80.0,100.0,300.0,0,8,,,,,,
-80.0,100.0,320.0,0,8,,,,,,
-80.0,100.0,340.0,0,8,,,,,,
-80.0,100.0,360.0,0,8,,,,,,
-80.0,100.0,380.0,0,8,,,,,,
-80.0,120.0,220.0,0,8,,,,,,
-80.0,120.0,240.0,0,8,,,,,,
-80.0,120.0,260.0,0,8,,,,,,
-80.0,120.0,280.0,0,8,,,,,,
-80.0,120.0,300.0,0,8,,,,,,
-80.0,120.0,320.0,0,8,,,,,,
-80.0,120.0,340.0,0,8,,,,,,
-80.0,120.0,360.0,0,8,,,,,,
-80.0,120.0,380.0,0,8,,,,,,
-80.0,140.0,220.0,0,8,,,,,,
-80.0,140.0,240.0,0,8,,,,,,
-80.0,140.0,260.0,0,8,,,,,,
-80.0,140.0,280.0,0,8,,,,,,
-80.0,140.0,300.0,0,8,,,,,,
-80.0,140.0,320.0,0,8,,,,,,
-80.0,140.0,340.0,0,8,,,,,,
-80.0,140.0,360.0,0,8,,,,,,
-80.0,140.0,380.0,0,8,,,,,,
-80.0,160.0,220.0,0,8,,,,,,
-80.0,160.0,240.0,0,8,,,,,,
-80.0,160.0,260.0,0,8,,,,,,
-80.0,160.0,280.0,0,8,,,,,,
-80.0,160.0,300.0,0,8,,,,,,
-80.0,160.0,320.0,0,8,,,,,,
-80.0,160.0,340.0,0,8,,,,,,
-80.0,160.0,360.0,0,8,,,,,,
-80.0,160.0,380.0,0,8,,,,,,
-80.0,180.0,220.0,0,8,,,,,,
-80.0,180.0,240.0,0,8,,,,,,
-80.0,180.0,260.0,0,8,,,,,,
-80.0,180.0,280.0,0,8,,,,,,
-80.0,180.0,300.0,0,8,,,,,,
-80.0,180.0,320.0,0,8,,,,,,
-80.0,180.0,340.0,0,8,,,,,,
-80.0,180.0,360.0,0,8,,,,,,
-80.0,180.0,380.0,0,8,,,,,,
-80.0,200.0,220.0,0,8,,,,,,
-80.0,200.0,240.0,0,8,,,,,,
-80.0,200.0,260.0,0,8,,,,,,
-80.0,200.0,280.0,0,8,,,,,,
-80.0,200.0,300.0,0,8,,,,,,
-80.0,200.0,320.0,0,8,,,,,,
-80.0,200.0,340.0,0,8,,,,,,
-80.0,200.0,360.0,0,8,,,,,,
-80.0,200.0,380.0,0,8,,,,,,
-80.0,220.0,220.0,0,8,,,,,,
-80.0,220.0,240.0,0,8,,,,,,
-80.0,220.0,260.0,0,8,,,,,,
-80.0,220.0,280.0,0,8,,,,,,
-80.0,220.0,300.0,0,8,,,,,,
-80.0,220.0,320.0,0,8,,,,,,
-80.0,220.0,340.0,0,8,,,,,,
-80.0,220.0,360.0,0,8,,,,,,
-80.0,220.0,380.0,0,8,,,,,,
-80.0,240.0,220.0,0,8,,,,,,
-80.0,240.0,240.0,0,8,,,,,,
-80.0,240.0,260.0,0,8,,,,,,
-80.0,240.0,280.0,0,8,,,,,,
-80.0,240.0,300.0,0,8,,,,,,
-80.0,240.0,320.0,0,8,,,,,,
-80.0,240.0,340.0,0,8,,,,,,
-80.0,240.0,360.0,0,8,,,,,,
-80.0,240.0,380.0,0,8,,,,,,
-80.0,260.0,220.0,0,8,,,,,,
-80.0,260.0,240.0,0,8,,,,,,
-80.0,260.0,260.0,0,8,,,,,,
-80.0,260.0,280.0,0,8,,,,,,
-80.0,260.0,300.0,0,8,,,,,,
-80.0,260.0,320.0,0,8,,,,,,
-80.0,260.0,340.0,0,8,,,,,,
-80.0,260.0,360.0,0,8,,,,,,
-80.0,260.0,380.0,0,8,,,,,,
-80.0,280.0,220.0,0,8,,,,,,
-80.0,280.0,240.0,0,8,,,,,,
-80.0,280.0,260.0,0,8,,,,,,
-80.0,280.0,280.0,0,8,,,,,,
-80.0,280.0,300.0,0,8,,,,,,
-80.0,280.0,320.0,0,8,,,,,,
-80.0,280.0,340.0,0,8,,,,,,
-80.0,280.0,360.0,0,8,,,,,,
-80.0,280.0,380.0,0,8,,,,,,
-80.0,300.0,220.0,0,8,,,,,,
-80.0,300.0,240.0,0,8,,,,,,
-80.0,300.0,260.0,0,8,,,,,,
-80.0,300.0,280.0,0,8,,,,,,
-80.0,300.0,300.0,0,8,,,,,,
-80.0,300.0,320.0,0,8,,,,,,
-80.0,300.0,340.0,0,8,,,,,,
-80.0,300.0,360.0,0,8,,,,,,
-80.0,300.0,380.0,0,8,,,,,,
-80.0,320.0,220.0,0,8,,,,,,
-80.0,320.0,240.0,0,8,,,,,,
-80.0,320.0,260.0,0,8,,,,,,
-80.0,320.0,280.0,0,8,,,,,,
-80.0,320.0,300.0,0,8,,,,,,
-80.0,320.0,320.0,0,8,,,,,,
-80.0,320.0,340.0,0,8,,,,,,
-80.0,320.0,360.0,0,8,,,,,,
-80.0,320.0,380.0,0,8,,,,,,
-60.0,100.0,220.0,0,8,,,,,,
-60.0,100.0,240.0,0,8,,,,,,
-60.0,100.0,260.0,0,8,,,,,,
-60.0,100.0,280.0,0,8,,,,,,
-60.0,100.0,300.0,0,8,,,,,,
-60.0,100.0,320.0,0,8,,,,,,
-60.0,100.0,340.0,0,8,,,,,,
-60.0,100.0,360.0,0,8,,,,,,
-60.0,100.0,380.0,0,8,,,,,,
-60.0,120.0,220.0,0,8,,,,,,
-60.0,120.0,240.0,0,8,,,,,,
-60.0,120.0,260.0,0,8,,,,,,
-60.0,120.0,280.0,0,8,,,,,,
-60.0,120.0,300.0,0,8,,,,,,
-60.0,120.0,320.0,0,8,,,,,,
-60.0,120.0,340.0,0,8,,,,,,
-60.0,120.0,360.0,0,8,,,,,,
-60.0,120.0,380.0,0,8,,,,,,
-60.0,140.0,220.0,0,8,,,,,,
-60.0,140.0,240.0,0,8,,,,,,
-60.0,140.0,260.0,0,8,,,,,,
-60.0,140.0,280.0,0,8,,,,,,
-60.0,140.0,300.0,0,8,,,,,,
-60.0,140.0,320.0,0,8,,,,,,
-60.0,140.0,340.0,0,8,,,,,,
-60.0,140.0,360.0,0,8,,,,,,
-60.0,140.0,380.0,0,8,,,,,,
-60.0,160.0,220.0,0,8,,,,,,
-60.0,160.0,240.0,0,8,,,,,,
-60.0,160.0,260.0,0,8,,,,,,
-60.0,160.0,280.0,0,8,,,,,,
-60.0,160.0,300.0,0,8,,,,,,
-60.0,160.0,320.0,0,8,,,,,,
-60.0,160.0,340.0,0,8,,,,,,
-60.0,160.0,360.0,0,8,,,,,,
-60.0,160.0,380.0,0,8,,,,,,
-60.0,180.0,220.0,0,8,,,,,,
-60.0,180.0,240.0,0,8,,,,,,
-60.0,180.0,260.0,0,8,,,,,,
-60.0,180.0,280.0,0,8,,,,,,
-60.0,180.0,300.0,0,8,,,,,,
-60.0,180.0,320.0,0,8,,,,,,
-60.0,180.0,340.0,0,8,,,,,,
-60.0,180.0,360.0,0,8,,,,,,
-60.0,180.0,380.0,0,8,,,,,,
-60.0,200.0,220.0,0,8,,,,,,
-60.0,200.0,240.0,0,8,,,,,,
-60.0,200.0,260.0,0,8,,,,,,
-60.0,200.0,280.0,0,8,,,,,,
-60.0,200.0,300.0,0,8,,,,,,
-60.0,200.0,320.0,0,8,,,,,,
-60.0,200.0,340.0,0,8,,,,,,
-60.0,200.0,360.0,0,8,,,,,,
-60.0,200.0,380.0,0,8,,,,,,
-60.0,220.0,220.0,0,8,,,,,,
-60.0,220.0,240.0,0,8,,,,,,
-60.0,220.0,260.0,0,8,,,,,,
-60.0,220.0,280.0,0,8,,,,,,
-60.0,220.0,300.0,0,8,,,,,,
-60.0,220.0,320.0,0,8,,,,,,
-60.0,220.0,340.0,0,8,,,,,,
-60.0,220.0,360.0,0,8,,,,,,
-60.0,220.0,380.0,0,8,,,,,,
-60.0,240.0,220.0,0,8,,,,,,
-60.0,240.0,240.0,0,8,,,,,,
-60.0,240.0,260.0,0,8,,,,,,
-60.0,240.0,280.0,0,8,,,,,,
-60.0,240.0,300.0,0,8,,,,,,
-60.0,240.0,320.0,0,8,,,,,,
-60.0,240.0,340.0,0,8,,,,,,
-60.0,240.0,360.0,0,8,,,,,,
-60.0,240.0,380.0,0,8,,,,,,
-60.0,260.0,220.0,0,8,,,,,,
-60.0,260.0,240.0,0,8,,,,,,
-60.0,260.0,260.0,0,8,,,,,,
-60.0,260.0,280.0,0,8,,,,,,
-60.0,260.0,300.0,0,8,,,,,,
-60.0,260.0,320.0,0,8,,,,,,
-60.0,260.0,340.0,0,8,,,,,,
-60.0,260.0,360.0,0,8,,,,,,
-60.0,260.0,380.0,0,8,,,,,,
-60.0,280.0,220.0,0,8,,,,,,
-60.0,280.0,240.0,0,8,,,,,,
-60.0,280.0,260.0,0,8,,,,,,
-60.0,280.0,280.0,0,8,,,,,,
-60.0,280.0,300.0,0,8,,,,,,
-60.0,280.0,320.0,0,8,,,,,,
-60.0,280.0,340.0,0,8,,,,,,
-60.0,280.0,360.0,0,8,,,,,,
-60.0,280.0,380.0,0,8,,,,,,
-60.0,300.0,220.0,0,8,,,,,,
-60.0,300.0,240.0,0,8,,,,,,
-60.0,300.0,260.0,0,8,,,,,,
-60.0,300.0,280.0,0,8,,,,,,
-60.0,300.0,300.0,0,8,,,,,,
-60.0,300.0,320.0,0,8,,,,,,
-60.0,300.0,340.0,0,8,,,,,,
-60.0,300.0,360.0,0,8,,,,,,
-60.0,300.0,380.0,0,8,,,,,,
-60.0,320.0,220.0,0,8,,,,,,
-60.0,320.0,240.0,0,8,,,,,,
-60.0,320.0,260.0,0,8,,,,,,
-60.0,320.0,280.0,0,8,,,,,,
-60.0,320.0,300.0,0,8,,,,,,
-60.0,320.0,320.0,0,8,,,,,,
-60.0,320.0,340.0,0,8,,,,,,
-60.0,320.0,360.0,0,8,,,,,,
-60.0,320.0,380.0,0,8,,,,,,
-40.0,100.0,220.0,0,8,,,,,,
-40.0,100.0,240.0,0,8,,,,,,
-40.0,100.0,260.0,0,8,,,,,,
-40.0,100.0,280.0,0,8,,,,,,
-40.0,100.0,300.0,0,8,,,,,,
-40.0,100.0,320.0,0,8,,,,,,
-40.0,100.0,340.0,0,8,,,,,,
-40.0,100.0,360.0,0,8,,,,,,
-40.0,100.0,380.0,0,8,,,,,,
-40.0,120.0,220.0,0,8,,,,,,
-40.0,120.0,240.0,0,8,,,,,,
-40.0,120.0,260.0,0,8,,,,,,
-40.0,120.0,280.0,0,8,,,,,,
-40.0,120.0,300.0,0,8,,,,,,
-40.0,120.0,320.0,0,8,,,,,,
-40.0,120.0,340.0,0,8,,,,,,
-40.0,120.0,360.0,0,8,,,,,,
-40.0,120.0,380.0,0,8,,,,,,
-40.0,140.0,220.0,0,8,,,,,,
-40.0,140.0,240.0,0,8,,,,,,
-40.0,140.0,260.0,0,8,,,,,,
-40.0,140.0,280.0,0,8,,,,,,
-40.0,140.0,300.0,0,8,,,,,,
-40.0,140.0,320.0,0,8,,,,,,
-40.0,140.0,340.0,0,8,,,,,,
-40.0,140.0,360.0,0,8,,,,,,
-40.0,140.0,380.0,0,8,,,,,,
-40.0,160.0,220.0,0,8,,,,,,
-40.0,160.0,240.0,0,8,,,,,,
-40.0,160.0,260.0,0,8,,,,,,
-40.0,160.0,280.0,0,8,,,,,,
-40.0,160.0,300.0,0,8,,,,,,
-40.0,160.0,320.0,0,8,,,,,,
-40.0,160.0,340.0,0,8,,,,,,
-40.0,160.0,360.0,0,8,,,,,,
-40.0,160.0,380.0,0,8,,,,,,
-40.0,180.0,220.0,0,8,,,,,,
-40.0,180.0,240.0,0,8,,,,,,
-40.0,180.0,260.0,0,8,,,,,,
-40.0,180.0,280.0,0,8,,,,,,
-40.0,180.0,300.0,0,8,,,,,,
-40.0,180.0,320.0,0,8,,,,,,
-40.0,180.0,340.0,0,8,,,,,,
-40.0,180.0,360.0,0,8,,,,,,
-40.0,180.0,380.0,0,8,,,,,,
-40.0,200.0,220.0,0,8,,,,,,
-40.0,200.0,240.0,0,8,,,,,,
