x_mm,y_mm,z_mm,ok,error_code,alpha_deg,servo0_pwm,servo1_pwm,servo2_pwm,servo3_pwm,command
-160.0,0.0,0.0,1,0,-90,2166,1070,1595,692,{#000P2166T1500!#001P1070T1500!#002P1595T1500!#003P0692T1500!}
-160.0,0.0,20.0,1,0,-86,2166,1140,1631,687,{#000P2166T1500!#001P1140T1500!#002P1631T1500!#003P0687T1500!}
-160.0,0.0,40.0,1,0,-82,2166,1167,1568,627,{#000P2166T1500!#001P1167T1500!#002P1568T1500!#003P0627T1500!}
-160.0,0.0,60.0,1,0,-76,2166,1250,1627,647,{#000P2166T1500!#001P1250T1500!#002P1627T1500!#003P0647T1500!}
-160.0,0.0,80.0,1,0,-70,2166,1295,1603,622,{#000P2166T1500!#001P1295T1500!#002P1603T1500!#003P0622T1500!}
-160.0,0.0,100.0,1,0,-63,2166,1354,1612,625,{#000P2166T1500!#001P1354T1500!#002P1612T1500!#003P0625T1500!}
-160.0,0.0,120.0,1,0,-55,2166,1428,1662,659,{#000P2166T1500!#001P1428T1500!#002P1662T1500!#003P0659T1500!}
-160.0,0.0,140.0,1,0,-48,2166,1455,1621,643,{#000P2166T1500!#001P1455T1500!#002P1621T1500!#003P0643T1500!}
-160.0,0.0,160.0,1,0,-41,2166,1462,1547,614,{#000P2166T1500!#001P1462T1500!#002P1547T1500!#003P0614T1500!}
-160.0,0.0,180.0,1,0,-33,2166,1528,1619,680,{#000P2166T1500!#001P1528T1500!#002P1619T1500!#003P0680T1500!}
-160.0,0.0,200.0,0,8,,,,,,
-160.0,0.0,220.0,0,8,,,,,,
-160.0,0.0,240.0,0,8,,,,,,
-160.0,0.0,260.0,0,8,,,,,,
-160.0,0.0,280.0,0,8,,,,,,
-160.0,0.0,300.0,0,8,,,,,,
-160.0,0.0,320.0,0,8,,,,,,
-160.0,0.0,340.0,0,8,,,,,,
-160.0,0.0,360.0,0,8,,,,,,
-160.0,20.0,0.0,1,0,-90,2113,1028,1500,637,{#000P2113T1500!#001P1028T1500!#002P1500T1500!#003P0637T1500!}
-160.0,20.0,20.0,1,0,-86,2113,1122,1593,667,{#000P2113T1500!#001P1122T1500!#002P1593T1500!#003P0667T1500!}
-160.0,20.0,40.0,1,0,-81,2113,1197,1637,672,{#000P2113T1500!#001P1197T1500!#002P1637T1500!#003P0672T1500!}
-160.0,20.0,60.0,1,0,-76,2113,1235,1597,632,{#000P2113T1500!#001P1235T1500!#002P1597T1500!#003P0632T1500!}
-160.0,20.0,80.0,1,0,-69,2113,1321,1661,662,{#000P2113T1500!#001P1321T1500!#002P1661T1500!#003P0662T1500!}
