x_mm,y_mm,z_mm,ok,error_code,alpha_deg,servo0_pwm,servo1_pwm,servo2_pwm,servo3_pwm,command
-160.0,80.0,20.0,0,8,,,,,,
-160.0,80.0,40.0,1,0,-45,1969,1555,2440,1384,{#000P1969T1500!#001P1555T1500!#002P2440T1500!#003P1384T1500!}
-160.0,80.0,60.0,1,0,-45,1969,1588,2343,1254,{#000P1969T1500!#001P1588T1500!#002P2343T1500!#003P1254T1500!}
-160.0,80.0,80.0,1,0,-45,1969,1594,2233,1139,{#000P1969T1500!#001P1594T1500!#002P2233T1500!#003P1139T1500!}
-160.0,80.0,100.0,1,0,-45,1969,1578,2106,1027,{#000P1969T1500!#001P1578T1500!#002P2106T1500!#003P1027T1500!}
-160.0,80.0,120.0,1,0,-45,1969,1540,1949,909,{#000P1969T1500!#001P1540T1500!#002P1949T1500!#003P0909T1500!}
-160.0,80.0,140.0,1,0,-45,1969,1456,1702,745,{#000P1969T1500!#001P1456T1500!#002P1702T1500!#003P0745T1500!}
-160.0,80.0,160.0,1,0,-39,1969,1464,1640,720,{#000P1969T1500!#001P1464T1500!#002P1640T1500!#003P0720T1500!}
-160.0,80.0,180.0,1,0,-32,1969,1498,1648,745,{#000P1969T1500!#001P1498T1500!#002P1648T1500!#003P0745T1500!}
-160.0,80.0,200.0,0,8,,,,,,
-160.0,80.0,220.0,0,8,,,,,,
-160.0,80.0,240.0,0,8,,,,,,
-160.0,80.0,260.0,0,8,,,,,,
-160.0,80.0,280.0,0,8,,,,,,
-160.0,80.0,300.0,0,8,,,,,,
-160.0,80.0,320.0,0,8,,,,,,
-160.0,80.0,340.0,0,8,,,,,,
-160.0,80.0,360.0,0,8,,,,,,
-160.0,80.0,380.0,0,8,,,,,,
-160.0,80.0,400.0,0,8,,,,,,
-160.0,80.0,420.0,0,8,,,,,,
-160.0,100.0,20.0,1,0,-45,1929,1448,2481,1532,{#000P1929T1500!#001P1448T1500!#002P2481T1500!#003P1532T1500!}
-160.0,100.0,40.0,1,0,-45,1929,1513,2403,1389,{#000P1929T1500!#001P1513T1500!#002P2403T1500!#003P1389T1500!}
-160.0,100.0,60.0,1,0,-45,1929,1547,2311,1264,{#000P1929T1500!#001P1547T1500!#002P2311T1500!#003P1264T1500!}
-160.0,100.0,80.0,1,0,-45,1929,1554,2203,1148,{#000P1929T1500!#001P1554T1500!#002P2203T1500!#003P1148T1500!}
-160.0,100.0,100.0,1,0,-45,1929,1540,2076,1035,{#000P1929T1500!#001P1540T1500!#002P2076T1500!#003P1035T1500!}
-160.0,100.0,120.0,1,0,-45,1929,1502,1914,912,{#000P1929T1500!#001P1502T1500!#002P1914T1500!#003P0912T1500!}
-160.0,100.0,140.0,1,0,-45,1929,1401,1622,720,{#000P1929T1500!#001P1401T1500!#002P1622T1500!#003P0720T1500!}
-160.0,100.0,160.0,1,0,-38,1929,1450,1654,755,{#000P1929T1500!#001P1450T1500!#002P1654T1500!#003P0755T1500!}
-160.0,100.0,180.0,1,0,-32,1929,1450,1588,733,{#000P1929T1500!#001P1450T1500!#002P1588T1500!#003P0733T1500!}
-160.0,100.0,200.0,0,8,,,,,,
-160.0,100.0,220.0,0,8,,,,,,
-160.0,100.0,240.0,0,8,,,,,,
-160.0,100.0,260.0,0,8,,,,,,
-160.0,100.0,280.0,0,8,,,,,,
-160.0,100.0,300.0,0,8,,,,,,
-160.0,100.0,320.0,0,8,,,,,,
-160.0,100.0,340.0,0,8,,,,,,
-160.0,100.0,360.0,0,8,,,,,,
-160.0,100.0,380.0,0,8,,,,,,
-160.0,100.0,400.0,0,8,,,,,,
-160.0,100.0,420.0,0,8,,,,,,
-160.0,120.0,20.0,1,0,-45,1893,1409,2428,1519,{#000P1893T1500!#001P1409T1500!#002P2428T1500!#003P1519T1500!}
-160.0,120.0,40.0,1,0,-45,1893,1468,2357,1388,{#000P1893T1500!#001P1468T1500!#002P2357T1500!#003P1388T1500!}
-160.0,120.0,60.0,1,0,-45,1893,1500,2268,1267,{#000P1893T1500!#001P1500T1500!#002P2268T1500!#003P1267T1500!}
-160.0,120.0,80.0,1,0,-45,1893,1509,2162,1153,{#000P1893T1500!#001P1509T1500!#002P2162T1500!#003P1153T1500!}
-160.0,120.0,100.0,1,0,-45,1893,1495,2034,1038,{#000P1893T1500!#001P1495T1500!#002P2034T1500!#003P1038T1500!}
-160.0,120.0,120.0,1,0,-45,1893,1454,1863,908,{#000P1893T1500!#001P1454T1500!#002P1863T1500!#003P0908T1500!}
-160.0,120.0,140.0,1,0,-44,1893,1356,1565,717,{#000P1893T1500!#001P1356T1500!#002P1565T1500!#003P0717T1500!}
-160.0,120.0,160.0,1,0,-37,1893,1423,1644,780,{#000P1893T1500!#001P1423T1500!#002P1644T1500!#003P0780T1500!}
-160.0,120.0,180.0,1,0,-31,1893,1434,1605,775,{#000P1893T1500!#001P1434T1500!#002P1605T1500!#003P0775T1500!}
-160.0,120.0,200.0,0,8,,,,,,
-160.0,120.0,220.0,0,8,,,,,,
-160.0,120.0,240.0,0,8,,,,,,
-160.0,120.0,260.0,0,8,,,,,,
-160.0,120.0,280.0,0,8,,,,,,
-160.0,120.0,300.0,0,8,,,,,,
-160.0,120.0,320.0,0,8,,,,,,
-160.0,120.0,340.0,0,8,,,,,,
-160.0,120.0,360.0,0,8,,,,,,
-160.0,120.0,380.0,0,8,,,,,,
-160.0,120.0,400.0,0,8,,,,,,
-160.0,120.0,420.0,0,8,,,,,,
-160.0,140.0,20.0,1,0,-45,1861,1368,2366,1497,{#000P1861T1500!#001P1368T1500!#002P2366T1500!#003P1497T1500!}
-160.0,140.0,40.0,1,0,-45,1861,1420,2299,1378,{#000P1861T1500!#001P1420T1500!#002P2299T1500!#003P1378T1500!}
