x_mm,y_mm,z_mm,ok,error_code,alpha_deg,servo0_pwm,servo1_pwm,servo2_pwm,servo3_pwm,command
-60.0,140.0,40.0,0,8,,,,,,
-60.0,140.0,50.0,1,0,-45,1671,1702,2460,1257,{#000P1671T1500!#001P1702T1500!#002P2460T1500!#003P1257T1500!}
-60.0,140.0,60.0,1,0,-45,1671,1709,2405,1195,{#000P1671T1500!#001P1709T1500!#002P2405T1500!#003P1195T1500!}
-60.0,140.0,70.0,1,0,-45,1671,1709,2348,1139,{#000P1671T1500!#001P1709T1500!#002P2348T1500!#003P1139T1500!}
-60.0,140.0,80.0,1,0,-45,1671,1704,2290,1085,{#000P1671T1500!#001P1704T1500!#002P2290T1500!#003P1085T1500!}
-60.0,140.0,90.0,1,0,-45,1671,1693,2228,1034,{#000P1671T1500!#001P1693T1500!#002P2228T1500!#003P1034T1500!}
-60.0,140.0,100.0,1,0,-45,1671,1679,2161,982,{#000P1671T1500!#001P1679T1500!#002P2161T1500!#003P0982T1500!}
-60.0,140.0,110.0,1,0,-45,1671,1659,2090,930,{#000P1671T1500!#001P1659T1500!#002P2090T1500!#003P0930T1500!}
-60.0,140.0,120.0,1,0,-45,1671,1635,2010,874,{#000P1671T1500!#001P1635T1500!#002P2010T1500!#003P0874T1500!}
-60.0,140.0,130.0,1,0,-45,1671,1604,1917,813,{#000P1671T1500!#001P1604T1500!#002P1917T1500!#003P0813T1500!}
-60.0,140.0,140.0,1,0,-45,1671,1561,1800,739,{#000P1671T1500!#001P1561T1500!#002P1800T1500!#003P0739T1500!}
-60.0,140.0,150.0,1,0,-45,1671,1477,1589,611,{#000P1671T1500!#001P1477T1500!#002P1589T1500!#003P0611T1500!}
-60.0,140.0,160.0,1,0,-41,1671,1501,1597,625,{#000P1671T1500!#001P1501T1500!#002P1597T1500!#003P0625T1500!}
-60.0,140.0,170.0,1,0,-37,1671,1525,1610,643,{#000P1671T1500!#001P1525T1500!#002P1610T1500!#003P0643T1500!}
-60.0,140.0,180.0,1,0,-33,1671,1549,1627,666,{#000P1671T1500!#001P1549T1500!#002P1627T1500!#003P0666T1500!}
-60.0,140.0,190.0,0,8,,,,,,
-60.0,140.0,200.0,0,8,,,,,,
-60.0,140.0,210.0,0,8,,,,,,
-60.0,140.0,220.0,0,8,,,,,,
-60.0,140.0,230.0,0,8,,,,,,
-60.0,140.0,240.0,0,8,,,,,,
-60.0,140.0,250.0,0,8,,,,,,
-60.0,140.0,260.0,0,8,,,,,,
-60.0,150.0,40.0,1,0,-45,1661,1637,2492,1355,{#000P1661T1500!#001P1637T1500!#002P2492T1500!#003P1355T1500!}
-60.0,150.0,50.0,1,0,-45,1661,1656,2441,1285,{#000P1661T1500!#001P1656T1500!#002P2441T1500!#003P1285T1500!}
-60.0,150.0,60.0,1,0,-45,1661,1666,2388,1222,{#000P1661T1500!#001P1666T1500!#002P2388T1500!#003P1222T1500!}
-60.0,150.0,70.0,1,0,-45,1661,1669,2332,1163,{#000P1661T1500!#001P1669T1500!#002P2332T1500!#003P1163T1500!}
-60.0,150.0,80.0,1,0,-45,1661,1665,2274,1108,{#000P1661T1500!#001P1665T1500!#002P2274T1500!#003P1108T1500!}
-60.0,150.0,90.0,1,0,-45,1661,1657,2213,1055,{#000P1661T1500!#001P1657T1500!#002P2213T1500!#003P1055T1500!}
-60.0,150.0,100.0,1,0,-45,1661,1644,2147,1002,{#000P1661T1500!#001P1644T1500!#002P2147T1500!#003P1002T1500!}
-60.0,150.0,110.0,1,0,-45,1661,1627,2075,947,{#000P1661T1500!#001P1627T1500!#002P2075T1500!#003P0947T1500!}
-60.0,150.0,120.0,1,0,-45,1661,1603,1994,890,{#000P1661T1500!#001P1603T1500!#002P1994T1500!#003P0890T1500!}
-60.0,150.0,130.0,1,0,-45,1661,1572,1899,826,{#000P1661T1500!#001P1572T1500!#002P1899T1500!#003P0826T1500!}
-60.0,150.0,140.0,1,0,-45,1661,1528,1777,748,{#000P1661T1500!#001P1528T1500!#002P1777T1500!#003P0748T1500!}
-60.0,150.0,150.0,1,0,-44,1661,1477,1629,660,{#000P1661T1500!#001P1477T1500!#002P1629T1500!#003P0660T1500!}
-60.0,150.0,160.0,1,0,-40,1661,1505,1649,681,{#000P1661T1500!#001P1505T1500!#002P1649T1500!#003P0681T1500!}
-60.0,150.0,170.0,1,0,-37,1661,1491,1580,648,{#000P1661T1500!#001P1491T1500!#002P1580T1500!#003P0648T1500!}
-60.0,150.0,180.0,1,0,-33,1661,1523,1616,682,{#000P1661T1500!#001P1523T1500!#002P1616T1500!#003P0682T1500!}
-60.0,150.0,190.0,0,8,,,,,,
-60.0,150.0,200.0,0,8,,,,,,
-60.0,150.0,210.0,0,8,,,,,,
-60.0,150.0,220.0,0,8,,,,,,
-60.0,150.0,230.0,0,8,,,,,,
-60.0,150.0,240.0,0,8,,,,,,
-60.0,150.0,250.0,0,8,,,,,,
-60.0,150.0,260.0,0,8,,,,,,
-60.0,160.0,40.0,1,0,-45,1652,1592,2466,1374,{#000P1652T1500!#001P1592T1500!#002P2466T1500!#003P1374T1500!}
-60.0,160.0,50.0,1,0,-45,1652,1612,2417,1305,{#000P1652T1500!#001P1612T1500!#002P2417T1500!#003P1305T1500!}
-60.0,160.0,60.0,1,0,-45,1652,1623,2366,1242,{#000P1652T1500!#001P1623T1500!#002P2366T1500!#003P1242T1500!}
-60.0,160.0,70.0,1,0,-45,1652,1628,2311,1183,{#000P1652T1500!#001P1628T1500!#002P2311T1500!#003P1183T1500!}
-60.0,160.0,80.0,1,0,-45,1652,1627,2254,1127,{#000P1652T1500!#001P1627T1500!#002P2254T1500!#003P1127T1500!}
-60.0,160.0,90.0,1,0,-45,1652,1621,2193,1072,{#000P1652T1500!#001P1621T1500!#002P2193T1500!#003P1072T1500!}
-60.0,160.0,100.0,1,0,-45,1652,1609,2127,1017,{#000P1652T1500!#001P1609T1500!#002P2127T1500!#003P1017T1500!}
-60.0,160.0,110.0,1,0,-45,1652,1593,2054,961,{#000P1652T1500!#001P1593T1500!#002P2054T1500!#003P0961T1500!}
-60.0,160.0,120.0,1,0,-45,1652,1570,1972,902,{#000P1652T1500!#001P1570T1500!#002P1972T1500!#003P0902T1500!}
-60.0,160.0,130.0,1,0,-45,1652,1539,1875,835,{#000P1652T1500!#001P1539T1500!#002P1875T1500!#003P0835T1500!}
-60.0,160.0,140.0,1,0,-45,1652,1492,1743,750,{#000P1652T1500!#001P1492T1500!#002P1743T1500!#003P0750T1500!}
-60.0,160.0,150.0,1,0,-44,1652,1415,1533,625,{#000P1652T1500!#001P1415T1500!#002P1533T1500!#003P0625T1500!}
-60.0,160.0,160.0,1,0,-40,1652,1463,1600,674,{#000P1652T1500!#001P1463T1500!#002P1600T1500!#003P0674T1500!}
-60.0,160.0,170.0,1,0,-36,1652,1497,1640,709,{#000P1652T1500!#001P1497T1500!#002P1640T1500!#003P0709T1500!}
-60.0,160.0,180.0,1,0,-33,1652,1487,1583,685,{#000P1652T1500!#001P1487T1500!#002P1583T1500!#003P0685T1500!}
-60.0,160.0,190.0,0,8,,,,,,
-60.0,160.0,200.0,0,8,,,,,,
-60.0,160.0,210.0,0,8,,,,,,
-60.0,160.0,220.0,0,8,,,,,,
-60.0,160.0,230.0,0,8,,,,,,
-60.0,160.0,240.0,0,8,,,,,,
-60.0,160.0,250.0,0,8,,,,,,
-60.0,160.0,260.0,0,8,,,,,,
-60.0,170.0,40.0,1,0,-45,1644,1549,2435,1385,{#000P1644T1500!#001P1549T1500!#002P2435T1500!#003P1385T1500!}
-60.0,170.0,50.0,1,0,-45,1644,1570,2388,1318,{#000P1644T1500!#001P1570T1500!#002P2388T1500!#003P1318T1500!}
-60.0,170.0,60.0,1,0,-45,1644,1582,2339,1256,{#000P1644T1500!#001P1582T1500!#002P2339T1500!#003P1256T1500!}
-60.0,170.0,70.0,1,0,-45,1644,1588,2286,1197,{#000P1644T1500!#001P1588T1500!#002P2286T1500!#003P1197T1500!}
-60.0,170.0,80.0,1,0,-45,1644,1589,2229,1140,{#000P1644T1500!#001P1589T1500!#002P2229T1500!#003P1140T1500!}
-60.0,170.0,90.0,1,0,-45,1644,1583,2169,1085,{#000P1644T1500!#001P1583T1500!#002P2169T1500!#003P1085T1500!}
-60.0,170.0,100.0,1,0,-45,1644,1573,2102,1029,{#000P1644T1500!#001P1573T1500!#002P2102T1500!#003P1029T1500!}
-60.0,170.0,110.0,1,0,-45,1644,1557,2029,971,{#000P1644T1500!#001P1557T1500!#002P2029T1500!#003P0971T1500!}
-60.0,170.0,120.0,1,0,-45,1644,1535,1945,910,{#000P1644T1500!#001P1535T1500!#002P1945T1500!#003P0910T1500!}
-60.0,170.0,130.0,1,0,-45,1644,1503,1842,839,{#000P1644T1500!#001P1503T1500!#002P1842T1500!#003P0839T1500!}
-60.0,170.0,140.0,1,0,-45,1644,1450,1693,743,{#000P1644T1500!#001P1450T1500!#002P1693T1500!#003P0743T1500!}
-60.0,170.0,150.0,1,0,-43,1644,1410,1565,669,{#000P1644T1500!#001P1410T1500!#002P1565T1500!#003P0669T1500!}
-60.0,170.0,160.0,1,0,-39,1644,1457,1630,718,{#000P1644T1500!#001P1457T1500!#002P1630T1500!#003P0718T1500!}
-60.0,170.0,170.0,1,0,-36,1644,1451,1581,697,{#000P1644T1500!#001P1451T1500!#002P1581T1500!#003P0697T1500!}
-60.0,170.0,180.0,1,0,-32,1644,1492,1642,745,{#000P1644T1500!#001P1492T1500!#002P1642T1500!#003P0745T1500!}
-60.0,170.0,190.0,0,8,,,,,,
-60.0,170.0,200.0,0,8,,,,,,
-60.0,170.0,210.0,0,8,,,,,,
-60.0,170.0,220.0,0,8,,,,,,
-60.0,170.0,230.0,0,8,,,,,,
-60.0,170.0,240.0,0,8,,,,,,
-60.0,170.0,250.0,0,8,,,,,,
-60.0,170.0,260.0,0,8,,,,,,
-60.0,180.0,40.0,1,0,-45,1636,1509,2399,1390,{#000P1636T1500!#001P1509T1500!#002P2399T1500!#003P1390T1500!}
-60.0,180.0,50.0,1,0,-45,1636,1529,2355,1325,{#000P1636T1500!#001P1529T1500!#002P2355T1500!#003P1325T1500!}
-60.0,180.0,60.0,1,0,-45,1636,1542,2307,1264,{#000P1636T1500!#001P1542T1500!#002P2307T1500!#003P1264T1500!}
-60.0,180.0,70.0,1,0,-45,1636,1549,2255,1206,{#000P1636T1500!#001P1549T1500!#002P2255T1500!#003P1206T1500!}
-60.0,180.0,80.0,1,0,-45,1636,1550,2200,1149,{#000P1636T1500!#001P1550T1500!#002P2200T1500!#003P1149T1500!}
-60.0,180.0,90.0,1,0,-45,1636,1546,2139,1093,{#000P1636T1500!#001P1546T1500!#002P2139T1500!#003P1093T1500!}
-60.0,180.0,100.0,1,0,-45,1636,1536,2072,1036,{#000P1636T1500!#001P1536T1500!#002P2072T1500!#003P1036T1500!}
-60.0,180.0,110.0,1,0,-45,1636,1520,1997,977,{#000P1636T1500!#001P1520T1500!#002P1997T1500!#003P0977T1500!}
-60.0,180.0,120.0,1,0,-45,1636,1497,1910,912,{#000P1636T1500!#001P1497T1500!#002P1910T1500!#003P0912T1500!}
-60.0,180.0,130.0,1,0,-45,1636,1463,1799,836,{#000P1636T1500!#001P1463T1500!#002P1799T1500!#003P0836T1500!}
-60.0,180.0,140.0,1,0,-45,1636,1393,1609,715,{#000P1636T1500!#001P1393T1500!#002P1609T1500!#003P0715T1500!}
-60.0,180.0,150.0,1,0,-42,1636,1394,1570,697,{#000P1636T1500!#001P1394T1500!#002P1570T1500!#003P0697T1500!}
-60.0,180.0,160.0,1,0,-38,1636,1444,1646,753,{#000P1636T1500!#001P1444T1500!#002P1646T1500!#003P0753T1500!}
-60.0,180.0,170.0,1,0,-35,1636,1447,1617,744,{#000P1636T1500!#001P1447T1500!#002P1617T1500!#003P0744T1500!}
-60.0,180.0,180.0,1,0,-32,1636,1443,1577,730,{#000P1636T1500!#001P1443T1500!#002P1577T1500!#003P0730T1500!}
-60.0,180.0,190.0,0,8,,,,,,
-60.0,180.0,200.0,0,8,,,,,,
-60.0,180.0,210.0,0,8,,,,,,
-60.0,180.0,220.0,0,8,,,,,,
-60.0,180.0,230.0,0,8,,,,,,
-60.0,180.0,240.0,0,8,,,,,,
-60.0,180.0,250.0,0,8,,,,,,
-60.0,180.0,260.0,0,8,,,,,,
-60.0,190.0,40.0,1,0,-45,1629,1471,2360,1388,{#000P1629T1500!#001P1471T1500!#002P2360T1500!#003P1388T1500!}
-60.0,190.0,50.0,1,0,-45,1629,1490,2318,1327,{#000P1629T1500!#001P1490T1500!#002P2318T1500!#003P1327T1500!}
-60.0,190.0,60.0,1,0,-45,1629,1503,2271,1267,{#000P1629T1500!#001P1503T1500!#002P2271T1500!#003P1267T1500!}
-60.0,190.0,70.0,1,0,-45,1629,1510,2220,1210,{#000P1629T1500!#001P1510T1500!#002P2220T1500!#003P1210T1500!}
-60.0,190.0,80.0,1,0,-45,1629,1512,2165,1153,{#000P1629T1500!#001P1512T1500!#002P2165T1500!#003P1153T1500!}
-60.0,190.0,90.0,1,0,-45,1629,1508,2104,1096,{#000P1629T1500!#001P1508T1500!#002P2104T1500!#003P1096T1500!}
-60.0,190.0,100.0,1,0,-45,1629,1498,2037,1038,{#000P1629T1500!#001P1498T1500!#002P2037T1500!#003P1038T1500!}
-60.0,190.0,110.0,1,0,-45,1629,1482,1959,977,{#000P1629T1500!#001P1482T1500!#002P1959T1500!#003P0977T1500!}
-60.0,190.0,120.0,1,0,-45,1629,1457,1866,908,{#000P1629T1500!#001P1457T1500!#002P1866T1500!#003P0908T1500!}
-60.0,190.0,130.0,1,0,-45,1629,1417,1741,823,{#000P1629T1500!#001P1417T1500!#002P1741T1500!#003P0823T1500!}
-60.0,190.0,140.0,1,0,-44,1629,1364,1582,725,{#000P1629T1500!#001P1364T1500!#002P1582T1500!#003P0725T1500!}
-60.0,190.0,150.0,1,0,-41,1629,1369,1553,714,{#000P1629T1500!#001P1369T1500!#002P1553T1500!#003P0714T1500!}
-60.0,190.0,160.0,1,0,-37,1629,1427,1651,782,{#000P1629T1500!#001P1427T1500!#002P1651T1500!#003P0782T1500!}
-60.0,190.0,170.0,1,0,-34,1629,1434,1633,780,{#000P1629T1500!#001P1434T1500!#002P1633T1500!#003P0780T1500!}
-60.0,190.0,180.0,1,0,-31,1629,1438,1612,777,{#000P1629T1500!#001P1438T1500!#002P1612T1500!#003P0777T1500!}
-60.0,190.0,190.0,0,8,,,,,,
-60.0,190.0,200.0,0,8,,,,,,
-60.0,190.0,210.0,0,8,,,,,,
-60.0,190.0,220.0,0,8,,,,,,
-60.0,190.0,230.0,0,8,,,,,,
-60.0,190.0,240.0,0,8,,,,,,
-60.0,190.0,250.0,0,8,,,,,,
-60.0,190.0,260.0,0,8,,,,,,
-60.0,200.0,40.0,1,0,-45,1623,1435,2317,1382,{#000P1623T1500!#001P1435T1500!#002P2317T1500!#003P1382T1500!}
-60.0,200.0,50.0,1,0,-45,1623,1453,2276,1323,{#000P1623T1500!#001P1453T1500!#002P2276T1500!#003P1323T1500!}
-60.0,200.0,60.0,1,0,-45,1623,1465,2231,1265,{#000P1623T1500!#001P1465T1500!#002P2231T1500!#003P1265T1500!}
-60.0,200.0,70.0,1,0,-45,1623,1472,2181,1209,{#000P1623T1500!#001P1472T1500!#002P2181T1500!#003P1209T1500!}
-60.0,200.0,80.0,1,0,-45,1623,1473,2126,1152,{#000P1623T1500!#001P1473T1500!#002P2126T1500!#003P1152T1500!}
-60.0,200.0,90.0,1,0,-45,1623,1469,2064,1095,{#000P1623T1500!#001P1469T1500!#002P2064T1500!#003P1095T1500!}
-60.0,200.0,100.0,1,0,-45,1623,1459,1995,1035,{#000P1623T1500!#001P1459T1500!#002P1995T1500!#003P1035T1500!}
-60.0,200.0,110.0,1,0,-45,1623,1442,1913,971,{#000P1623T1500!#001P1442T1500!#002P1913T1500!#003P0971T1500!}
-60.0,200.0,120.0,1,0,-45,1623,1414,1811,897,{#000P1623T1500!#001P1414T1500!#002P1811T1500!#003P0897T1500!}
-60.0,200.0,130.0,1,0,-45,1623,1360,1653,792,{#000P1623T1500!#001P1360T1500!#002P1653T1500!#003P0792T1500!}
