label,x_mm,y_mm,z_mm,held_book_visible,return_book_visible,placed_book_visible,horizontal_end_link,base_only_from_previous
pick_insert_ready,179.27720180614799,-63.286233799917895,160.0,0,1,0,1,0
pick_approach,212.28117429661225,-74.93689042727915,115.0,0,1,0,1,0
pick,250.0,-88.25192657283489,115.0,0,1,0,1,0
gripper_close_pose,250.0,-88.25192657283489,115.0,1,0,0,1,0
pick_lift,117.87133032308671,-41.609487954861656,210.0,1,0,0,0,0
place_transfer_base_only,0.0,220.0,210.0,1,0,0,1,1
place_approach,0.0,250.0,210.0,1,0,0,1,0
place_final,0.0,250.0,135.0,1,0,0,1,0
gripper_open_pose,0.0,250.0,135.0,0,0,1,1,0
place_retreat,0.0,220.0,240.0,0,0,1,1,0
